village,location,property_type,road_type,year,price_lakhs
edigah,soura,residential,front side road,2021,56.7
edigah,soura,residential,front side road,2022,60.66900000000001
edigah,soura,residential,front side road,2023,64.91583
edigah,soura,residential,front side road,2024,69.4599381
edigah,soura,residential,front side road,2025,74.32213376700001
edigah,soura,residential,front side road,2026,79.52468313069002
edigah,soura,residential,front side road,2027,85.09141094983833
edigah,soura,residential,front side road,2028,91.04780971632702
edigah,soura,residential,front side road,2029,97.42115639646993
edigah,soura,residential,front side road,2030,104.24063734422282
edigah,soura,residential,front side road,2031,111.53748195831842
edigah,soura,commercial,front side road,2021,80.75
edigah,soura,commercial,front side road,2022,87.21000000000001
edigah,soura,commercial,front side road,2023,94.1868
edigah,soura,commercial,front side road,2024,101.72174400000002
edigah,soura,commercial,front side road,2025,109.85948352000001
edigah,soura,commercial,front side road,2026,118.64824220160003
edigah,soura,commercial,front side road,2027,128.14010157772805
edigah,soura,commercial,front side road,2028,138.3913097039463
edigah,soura,commercial,front side road,2029,149.462614480262
edigah,soura,commercial,front side road,2030,161.419623638683
edigah,soura,commercial,front side road,2031,174.33319352977765
edigah,nowshera,residential,front side road,2021,56.7
edigah,nowshera,residential,front side road,2022,60.66900000000001
edigah,nowshera,residential,front side road,2023,64.91583
edigah,nowshera,residential,front side road,2024,69.4599381
edigah,nowshera,residential,front side road,2025,74.32213376700001
edigah,nowshera,residential,front side road,2026,79.52468313069002
edigah,nowshera,residential,front side road,2027,85.09141094983833
edigah,nowshera,residential,front side road,2028,91.04780971632702
edigah,nowshera,residential,front side road,2029,97.42115639646993
edigah,nowshera,residential,front side road,2030,104.24063734422282
edigah,nowshera,residential,front side road,2031,111.53748195831842
edigah,nowshera,commercial,front side road,2021,80.75
edigah,nowshera,commercial,front side road,2022,87.21000000000001
edigah,nowshera,commercial,front side road,2023,94.1868
edigah,nowshera,commercial,front side road,2024,101.72174400000002
edigah,nowshera,commercial,front side road,2025,109.85948352000001
edigah,nowshera,commercial,front side road,2026,118.64824220160003
edigah,nowshera,commercial,front side road,2027,128.14010157772805
edigah,nowshera,commercial,front side road,2028,138.3913097039463
edigah,nowshera,commercial,front side road,2029,149.462614480262
edigah,nowshera,commercial,front side road,2030,161.419623638683
edigah,nowshera,commercial,front side road,2031,174.33319352977765
edigah,alamgari bazar,residential,front side road,2021,56.7
edigah,alamgari bazar,residential,front side road,2022,60.66900000000001
edigah,alamgari bazar,residential,front side road,2023,64.91583
edigah,alamgari bazar,residential,front side road,2024,69.4599381
edigah,alamgari bazar,residential,front side road,2025,74.32213376700001
edigah,alamgari bazar,residential,front side road,2026,79.52468313069002
edigah,alamgari bazar,residential,front side road,2027,85.09141094983833
edigah,alamgari bazar,residential,front side road,2028,91.04780971632702
edigah,alamgari bazar,residential,front side road,2029,97.42115639646993
edigah,alamgari bazar,residential,front side road,2030,104.24063734422282
edigah,alamgari bazar,residential,front side road,2031,111.53748195831842
edigah,alamgari bazar,commercial,front side road,2021,80.75
edigah,alamgari bazar,commercial,front side road,2022,87.21000000000001
edigah,alamgari bazar,commercial,front side road,2023,94.1868
edigah,alamgari bazar,commercial,front side road,2024,101.72174400000002
edigah,alamgari bazar,commercial,front side road,2025,109.85948352000001
edigah,alamgari bazar,commercial,front side road,2026,118.64824220160003
edigah,alamgari bazar,commercial,front side road,2027,128.14010157772805
edigah,alamgari bazar,commercial,front side road,2028,138.3913097039463
edigah,alamgari bazar,commercial,front side road,2029,149.462614480262
edigah,alamgari bazar,commercial,front side road,2030,161.419623638683
edigah,alamgari bazar,commercial,front side road,2031,174.33319352977765
edigah,zoonimar,residential,front side road,2021,56.7
edigah,zoonimar,residential,front side road,2022,60.66900000000001
edigah,zoonimar,residential,front side road,2023,64.91583
edigah,zoonimar,residential,front side road,2024,69.4599381
edigah,zoonimar,residential,front side road,2025,74.32213376700001
edigah,zoonimar,residential,front side road,2026,79.52468313069002
edigah,zoonimar,residential,front side road,2027,85.09141094983833
edigah,zoonimar,residential,front side road,2028,91.04780971632702
